Очки,2-очк-3/В,2-очк-%,3-очк-3/В,3-очк-%,Штрафные-3/В,Штрафные-%,Подборы,Передачи,Фолы,Перехваты,Потери,Блокшоты,МИН,Очки прот.,2-очк-3/В прот.,2-очк-% прот.,3-очк-3/В прот.,3-очк-% прот.,Штрафные-3/В прот.,Штрафные-% прот.,Подборы прот.,Передачи прот.,Фолы прот.,Перехваты прот.,Потери прот.,Блокшоты прот.,Победа,Победа дома
87,24/54,44,7/13,54,18/22,82,40,21,17,9,12,2,200,64,16/41,39,7/23,30,11/15,73,24,15,20,6,14,1,1,1
83,22/37,59,7/22,32,18/19,95,24,11,29,7,16,4,200,93,20/34,59,7/20,35,32/36,89,27,25,23,11,18,2,0,0
73,21/37,57,7/28,25,10/16,63,35,21,19,8,9,2,200,77,12/35,34,14/30,47,11/15,73,41,12,18,6,11,1,0,0
67,17/41,41,8/22,36,9/16,56,35,15,19,4,12,1,200,75,17/36,47,9/23,39,14/19,74,35,20,20,8,8,2,0,0
83,23/47,49,8/27,30,13/17,76,44,16,27,4,15,2,200,88,33/57,58,1/14,7,19/30,63,36,18,21,9,9,3,0,0
75,15/34,44,6/14,43,27/34,79,28,14,26,5,14,2,200,78,19/33,58,7/27,26,19/21,90,31,15,29,5,10,4,0,0
80,24/44,55,5/17,29,17/22,77,20,21,19,6,11,0,200,98,20/30,67,16/31,52,10/11,91,36,30,26,6,14,6,0,0
97,18/43,42,15/31,48,16/27,59,33,15,29,10,8,2,225,103,22/44,50,10/22,45,29/34,85,38,20,26,5,13,4,1,0
80,18/32,56,10/30,33,14/17,82,26,24,22,10,16,2,200,90,22/37,59,10/25,40,16/19,84,32,21,15,10,15,2,0,0
93,14/28,50,16/31,52,17/20,85,31,22,18,8,10,5,200,65,19/39,49,4/19,21,15/21,71,29,7,21,4,15,0,1,1
77,18/41,44,8/26,31,17/24,71,42,18,14,8,6,0,200,59,13/37,35,8/28,29,9/10,90,38,11,23,3,12,3,1,1
98,26/49,53,7/21,33,25/35,71,32,19,25,9,15,1,200,110,18/33,55,17/29,59,23/30,77,31,24,26,10,17,5,1,0
79,14/25,56,11/23,48,18/20,90,27,22,22,3,15,1,200,82,19/40,48,7/23,30,23/29,79,29,17,21,9,5,1,0,0
104,27/43,63,13/33,39,11/11,100,38,27,20,4,11,6,200,84,18/49,37,10/24,42,18/20,90,32,18,20,6,13,2,0,1
87,20/34,59,9/29,31,20/26,77,28,19,27,3,10,3,200,83,21/43,49,7/26,27,20/27,74,37,16,31,8,15,0,1,1
84,20/39,51,6/20,30,26/30,87,30,14,25,9,5,0,200,79,23/35,66,7/25,28,12/15,80,33,21,27,2,14,1,1,1
81,17/41,41,12/34,35,11/16,69,32,19,17,7,6,1,200,88,19/36,53,12/21,57,14/18,78,36,23,21,2,10,2,0,0
83,15/30,50,13/37,35,14/19,74,28,18,33,9,13,3,200,102,18/35,51,12/28,43,30/43,70,41,23,20,7,13,4,1,0
97,23/41,56,9/26,35,16/18,89,40,19,23,3,11,0,200,88,23/40,58,8/27,30,18/26,69,29,15,21,5,6,3,1,1
78,16/35,46,11/29,38,13/19,68,41,21,13,2,11,2,200,67,13/40,33,11/24,46,8/12,67,25,18,21,3,6,4,1,1
88,12/30,40,14/29,48,22/34,65,33,18,37,9,14,4,225,84,15/43,35,7/15,47,33/44,75,37,15,31,7,18,3,1,1
79,19/32,59,9/28,32,14/17,82,30,20,28,10,10,2,200,78,13/29,45,9/16,56,25/34,74,24,16,22,9,14,0,1,1
95,21/44,48,12/30,40,17/24,71,39,15,27,4,8,2,200,89,17/42,40,8/22,36,31/38,82,30,16,23,3,7,2,1,1
78,16/40,40,7/24,29,25/33,76,30,17,17,7,10,0,200,84,20/39,51,11/27,41,11/13,85,42,20,23,6,15,2,0,0
70,18/36,50,6/22,27,16/23,70,28,10,23,7,8,1,200,78,18/31,58,7/23,30,21/23,91,30,13,23,4,9,1,0,0
108,31/47,66,5/15,33,31/35,89,28,25,22,14,11,1,200,73,20/35,57,7/25,28,12/16,75,26,14,31,4,23,0,0,1
80,17/32,53,7/25,28,25/35,71,36,17,21,8,17,3,200,83,23/44,52,6/22,27,19/25,76,32,21,29,10,14,4,0,0
96,25/43,58,7/24,29,25/28,89,39,24,24,11,11,5,200,73,17/43,40,6/18,33,21/28,75,28,19,22,3,13,1,1,1
79,20/41,49,11/22,50,6/8,75,25,13,21,12,13,0,200,78,12/18,67,13/29,45,15/22,68,26,14,17,8,19,1,1,1
96,18/34,53,16/21,76,12/20,60,28,30,23,9,13,4,200,85,19/38,50,11/23,48,14/24,58,26,17,21,4,12,0,1,1
94,16/32,50,11/25,44,29/35,83,28,19,23,4,8,6,200,90,16/35,46,13/29,45,19/27,70,31,19,27,3,8,0,1,1
79,23/45,51,7/25,28,12/19,63,29,20,13,7,9,3,200,93,35/51,69,6/12,50,5/9,56,32,21,22,5,12,4,0,0
80,18/32,56,7/20,35,23/29,79,31,22,18,6,9,2,200,63,14/42,33,8/25,32,11/14,79,37,11,22,6,13,3,1,1
80,24/42,57,4/25,16,20/29,69,22,18,28,9,5,3,200,82,22/32,69,6/24,25,20/25,80,32,18,27,2,15,0,0,0
78,15/34,44,10/24,42,18/21,86,25,20,13,7,14,2,200,80,23/39,59,8/18,44,10/15,67,31,28,19,7,15,4,0,0
79,20/35,57,7/25,28,18/25,72,28,17,27,3,9,1,200,78,24/43,56,4/13,31,18/24,75,29,13,25,4,6,3,1,1
90,26/38,68,9/21,43,11/15,73,27,17,24,7,12,3,200,76,16/36,44,8/23,35,20/29,69,31,14,19,5,15,1,1,1
80,25/48,52,6/21,29,12/14,86,32,18,16,10,13,0,225,85,23/37,62,10/19,53,9/16,56,29,25,23,6,19,2,0,0
89,20/34,59,8/19,42,25/29,86,27,18,21,6,12,3,200,81,16/37,43,13/37,35,10/15,67,32,18,23,4,11,3,1,1
90,26/48,54,5/16,31,23/26,88,28,22,33,4,12,2,200,104,27/41,66,6/16,38,32/39,82,26,23,23,8,6,4,1,0
90,26/35,74,6/20,30,20/25,80,32,21,20,6,16,4,200,87,20/41,49,11/31,35,14/19,74,30,20,22,9,9,0,1,1
95,17/35,49,9/22,41,34/40,85,24,24,20,10,20,1,200,105,23/31,74,14/36,39,17/21,81,35,24,27,10,19,1,1,0
79,14/27,52,11/24,46,18/24,75,31,18,21,2,11,4,200,82,14/32,44,13/26,50,15/26,58,29,20,21,8,5,3,0,0
104,28/47,60,10/15,67,18/20,90,31,19,16,7,11,4,200,82,30/51,59,5/21,24,7/8,88,26,20,24,8,9,3,0,1
79,17/41,41,8/20,40,21/27,78,28,11,28,3,14,2,200,85,18/34,53,8/19,42,25/29,86,32,12,31,8,17,3,0,0
90,28/44,64,8/26,31,10/13,77,29,25,19,8,7,2,200,75,17/28,61,9/27,33,14/21,67,32,12,19,6,16,1,1,1
85,19/44,43,8/26,31,21/30,70,53,28,29,5,14,2,200,80,21/48,44,4/17,24,27/39,69,34,21,29,12,10,1,1,1
102,21/40,53,18/39,46,6/17,35,41,30,20,5,9,2,200,92,22/45,49,10/22,45,18/20,90,26,16,21,7,11,1,0,1
89,16/41,39,12/25,48,21/23,91,28,14,28,7,11,0,200,93,27/44,61,5/13,38,24/28,86,30,24,22,7,12,4,0,0
89,23/44,52,4/23,17,31/35,89,41,17,19,2,8,3,225,84,16/35,46,13/37,35,13/23,57,34,23,28,5,7,3,1,1
94,26/43,60,8/20,40,18/30,60,40,26,21,8,11,1,200,64,13/24,54,8/29,28,14/19,74,21,12,24,8,16,2,1,1
100,19/35,54,9/26,35,35/39,90,29,16,33,8,8,0,200,90,19/37,51,7/21,33,31/39,79,29,9,34,6,15,3,0,1
84,21/47,45,9/24,38,15/24,63,28,18,28,9,14,2,200,104,27/39,69,7/19,37,29/36,81,33,19,24,8,14,2,1,0
69,12/27,44,13/28,46,6/6,100,27,15,23,7,24,2,200,71,28/47,60,2/20,10,9/16,56,30,16,18,13,14,2,0,0
91,22/44,50,6/22,27,29/32,91,30,15,20,9,6,1,200,80,22/33,67,8/23,35,12/19,63,33,10,23,2,12,5,1,1
94,24/48,50,11/26,42,13/21,62,34,27,24,9,11,2,225,96,17/40,43,11/27,41,29/35,83,40,16,18,7,16,2,0,0
99,21/41,51,9/22,41,30/42,71,39,16,29,2,13,5,225,93,15/34,44,11/40,28,30/37,81,32,14,29,6,7,1,1,1
89,21/32,66,11/32,34,14/17,82,35,25,24,6,10,1,200,77,18/38,47,6/20,30,23/31,74,28,20,21,4,11,1,1,1
81,20/41,49,9/27,33,14/20,70,30,14,25,7,9,0,200,88,21/35,60,5/23,22,31/34,91,31,21,23,8,11,2,0,0
106,34/54,63,7/13,54,17/24,71,36,22,23,12,6,2,200,57,12/32,38,4/22,18,21/25,84,23,9,22,4,19,3,0,1
104,20/37,54,12/22,55,28/29,97,21,30,17,11,10,1,200,92,18/30,60,13/29,45,13/14,93,26,22,25,5,16,3,0,1
100,24/37,65,11/24,46,19/24,79,23,26,25,12,15,6,200,84,17/41,41,9/15,60,23/32,72,26,21,27,9,18,1,0,1
84,27/46,59,5/17,29,15/18,83,33,18,21,7,11,4,200,77,17/33,52,12/27,44,7/15,47,27,17,23,5,11,2,1,1
84,23/43,53,5/23,22,23/29,79,30,14,22,12,13,2,200,82,17/29,59,8/21,38,24/30,80,27,12,26,7,22,3,1,1
83,17/30,57,10/32,31,19/29,66,24,23,29,12,12,2,200,90,14/26,54,14/21,67,20/34,59,33,24,24,8,22,2,0,0
82,22/46,48,6/19,32,20/27,74,29,25,19,7,12,3,200,99,23/41,56,11/21,52,20/25,80,29,22,22,8,12,4,0,0
84,23/43,53,7/25,28,17/24,71,36,25,26,7,17,5,200,89,15/33,45,12/25,48,23/28,82,24,21,20,8,12,3,0,0
75,19/42,45,10/25,40,7/23,30,34,19,18,7,15,0,200,92,30/52,58,6/17,35,14/21,67,42,22,22,9,11,1,0,0
